Time,Recipientid,Balance
1705436613138716,98,1
1705436613138716,1,1
1705436613138716,0,1
1705436614138793,99,1
1705436614138793,98,1
1705436614138793,1,1
1705436614138793,0,1
1705436615138871,99,1
1705436615138871,98,1
1705436615138871,1,1
1705436615138871,0,1
1705436616138949,99,1
1705436616138949,98,1
1705436616138949,1,1
1705436616138949,0,1
1705436617139027,99,1
1705436617139027,98,1
1705436617139027,1,1
1705436617139027,0,1
1705436618139102,99,1
1705436618139102,98,1
1705436618139102,1,1
1705436618139102,0,1
1705436619139182,99,1
1705436619139182,98,1
1705436619139182,1,1
1705436619139182,0,1
1705436620139264,99,1
1705436620139264,98,1
1705436620139264,1,1
1705436620139264,0,1
1705436621139342,99,1
1705436621139342,98,1
1705436621139342,1,1
1705436621139342,0,1
1705436622139420,99,1
1705436622139420,98,1
1705436622139420,1,1
1705436622139420,0,1
1705436623139497,99,1
1705436623139497,98,1
1705436623139497,1,1
1705436623139497,0,1
1705436624139583,99,1
1705436624139583,98,1
1705436624139583,1,1
1705436624139583,0,1
1705436625139662,99,1
1705436625139662,98,1
1705436625139662,1,1
1705436625139662,0,1
1705436626139738,99,1
1705436626139738,98,1
1705436626139738,1,1
1705436626139738,0,1
1705436627139814,99,1
1705436627139814,98,1
1705436627139814,1,1
1705436627139814,0,1
1705436628139891,99,1
1705436628139891,98,1
1705436628139891,1,1
1705436628139891,0,1
1705436629139968,99,1
1705436629139968,98,1
1705436629139968,1,1
1705436629139968,0,1
1705436630140047,99,1
1705436630140047,98,1
1705436630140047,1,1
1705436630140047,0,1
1705436631140131,99,1
1705436631140131,98,1
1705436631140131,1,1
1705436631140131,0,1
1705436632140208,99,1
1705436632140208,98,1
1705436632140208,1,1
1705436632140208,0,1
1705436633140284,99,1
1705436633140284,98,1
1705436633140284,1,1
1705436633140284,0,1
1705436634140364,99,1
1705436634140364,98,1
1705436634140364,1,1
1705436634140364,0,1
1705436635140456,99,1
1705436635140456,98,1
1705436635140456,1,1
1705436635140456,0,1
1705436636140537,99,1
1705436636140537,98,1
1705436636140537,1,1
1705436636140537,0,1
1705436637140612,99,1
1705436637140612,98,1
1705436637140612,1,1
1705436637140612,0,1
1705436638140691,99,1
1705436638140691,98,1
1705436638140691,1,1
1705436638140691,0,1
1705436639140770,99,1
1705436639140770,98,1
1705436639140770,1,1
1705436639140770,0,1
1705436640140845,99,1
1705436640140845,98,1
1705436640140845,1,1
1705436640140845,0,1
1705436641140922,99,1
1705436641140922,98,1
1705436641140922,1,1
1705436641140922,0,1
1705436642141001,99,1
1705436642141001,98,1
1705436642141001,1,1
1705436642141001,0,1
1705436643141078,99,1
1705436643141078,98,1
1705436643141078,1,1
1705436643141078,0,1
1705436644141160,99,1
1705436644141160,98,1
1705436644141160,1,1
1705436644141160,0,1
1705436645141240,99,1
1705436645141240,98,1
1705436645141240,1,1
1705436645141240,0,1
1705436646141320,99,1
1705436646141320,98,1
1705436646141320,1,1
1705436646141320,0,1
1705436647141424,99,1
1705436647141424,98,1
1705436647141424,1,1
1705436647141424,0,1
1705436648141501,99,1
1705436648141501,98,1
1705436648141501,1,1
1705436648141501,0,1
1705436649141581,99,1
1705436649141581,98,1
1705436649141581,1,1
1705436649141581,0,1
1705436650141660,99,1
1705436650141660,98,1
1705436650141660,1,1
1705436650141660,0,1
1705436651141719,99,1
1705436651141719,98,1
1705436651141719,1,1
1705436651141719,0,1
1705436652141795,99,27682
1705436652141795,98,20463
1705436652141795,1,23806
1705436652141795,0,27997
1705436653141869,99,60475
1705436653141869,98,49041
1705436653141869,1,55130
1705436653141869,0,61124
1705436654141939,99,95096
1705436654141939,98,82006
1705436654141939,1,88379
1705436654141939,0,82602
1705436655142010,99,124806
1705436655142010,98,108564
1705436655142010,1,113586
1705436655142010,0,119138
1705436656142082,99,150889
1705436656142082,98,143963
1705436656142082,1,140904
1705436656142082,0,147420
1705436657142153,99,182152
1705436657142153,98,174858
1705436657142153,1,176476
1705436657142153,0,179317
1705436658142227,99,210821
1705436658142227,98,204417
1705436658142227,1,215466
1705436658142227,0,207901
1705436659142306,99,239422
1705436659142306,98,241165
1705436659142306,1,249849
1705436659142306,0,234358
1705436660142383,99,273498
1705436660142383,98,277237
1705436660142383,1,292242
1705436660142383,0,264151
1705436661142456,99,308355
1705436661142456,98,302751
1705436661142456,1,320105
1705436661142456,0,296504
1705436662142530,99,335400
1705436662142530,98,334790
1705436662142530,1,344309
1705436662142530,0,327328
1705436663142606,99,366348
1705436663142606,98,369578
1705436663142606,1,369206
1705436663142606,0,350154
1705436664142679,99,399187
1705436664142679,98,401646
1705436664142679,1,402718
1705436664142679,0,373406
1705436665142753,99,435298
1705436665142753,98,440124
1705436665142753,1,436168
1705436665142753,0,400210
1705436666142827,99,466096
1705436666142827,98,467603
1705436666142827,1,463134
1705436666142827,0,428037
1705436667142900,99,495618
1705436667142900,98,503095
1705436667142900,1,490986
1705436667142900,0,460506
1705436668142974,99,530380
1705436668142974,98,528892
1705436668142974,1,522350
1705436668142974,0,484357
1705436669143048,99,569095
1705436669143048,98,561222
1705436669143048,1,554716
1705436669143048,0,508493
1705436670143127,99,604549
1705436670143127,98,586225
1705436670143127,1,592098
1705436670143127,0,536688
1705436671143200,99,635679
1705436671143200,98,620326
1705436671143200,1,622371
1705436671143200,0,561829
1705436672143273,99,668822
1705436672143273,98,650866
1705436672143273,1,648435
1705436672143273,0,597679
1705436673143346,99,699206
1705436673143346,98,676607
1705436673143346,1,679339
1705436673143346,0,626547
1705436674143420,99,727714
1705436674143420,98,704268
1705436674143420,1,702488
1705436674143420,0,661897
1705436675143493,99,761874
1705436675143493,98,733384
1705436675143493,1,729317
1705436675143493,0,683158
1705436676143568,99,791143
1705436676143568,98,765004
1705436676143568,1,770695
1705436676143568,0,713510
1705436677143645,99,831491
1705436677143645,98,794170
1705436677143645,1,797319
1705436677143645,0,739032
1705436678143718,99,862548
1705436678143718,98,826018
1705436678143718,1,827737
1705436678143718,0,764270
1705436679143791,99,904804
1705436679143791,98,860989
1705436679143791,1,853590
1705436679143791,0,788827

